Pos;P+;Artist and Title;Days;Pk;(x?);Pts;Pts+;TPts;US;UK;DE;AU;JP
1;NEW;Coolio - Gangsta's Paradise;21;1;(x1);18977;18977;0.609;1;1;1;1;
2;-1;David Guetta & Bebe Rexha - I'm Good;35;1;(x13);15179;-154;0.538;6;2;2;2;
3;=;Sam Smith & Kim Petras - Unholy;8;2;(x1);13021;803;0.109;3;3;31;8;
4;1;Harry Styles - As It Was;182;1;(x102);12884;2032;3.194;18;16;8;18;
5;-3;Elton John & Britney Spears - Hold Me Closer;36;1;(x10);12453;-631;0.549;17;11;4;5;
6;-2;OneRepublic - I Ain't Worried;131;3;(x9);12106;159;1.273;10;7;50;7;
7;NEW;Ed Sheeran - Celestial;1;7;;8044;8044;0.008;25;13;11;;
8;NEW;Coolio - C U When U Get There;1;8;;7414;7414;0.012;38;15;26;9;
9;=;Rosa Linn - SNAP;85;7;;7006;596;0.427;;93;9;17;
10;-3;Elton John & Dua Lipa - Cold Heart;413;1;(x91);6878;-249;5.810;76;65;37;45;
11;-5;Lewis Capaldi - Forget Me;21;5;;6863;-1035;0.176;59;4;23;20;
12;21;Paramore - This Is Why;2;12;;6517;2861;0.010;13;9;80;27;
13;-5;Lady Gaga - Hold My Hand;150;1;(x2);6326;-680;1.840;86;57;7;87;
14;5;Sia - Unstoppable;814;3;(x7);5989;1287;3.676;14;55;;39;
15;-4;Beyoncé - CUFF IT;28;10;;5854;92;0.126;48;19;46;32;
16;-6;Lizzo - 2 Be Loved;53;9;;5492;-274;0.240;28;6;;6;
17;-2;Black Eyed Peas, Shakira & David Guetta - DON'T YOU WORRY;105;5;;5287;-54;0.674;;;6;;
18;-6;James Hype & Miggy Dela Rosa - Ferrari;174;10;;4974;-765;0.756;;17;19;57;
19;1;Lil Nas X - STAR WALKIN';7;10;;4950;429;0.037;40;56;45;22;
20;6;Rema - Calm Down;128;13;;4837;778;0.466;;;64;;
21;-8;Chris Brown - Under the Influence;42;13;;4651;-904;0.159;24;31;;21;
22;-5;Dean Lewis - How Do I Say Goodbye;25;17;;4593;-262;0.061;9;53;;15;
23;9;Nicki Minaj - Super Freaky Girl;49;1;(x3);4337;655;0.307;20;21;;16;
24;NEW;Coolio - Fantastic Voyage;1;24;;4182;4182;0.004;2;;69;35;
25;-7;Harry Styles - Late Night Talking;133;7;;4104;-688;0.528;35;29;;40;
